,APPG,pj_vO,APPG_1-6,pj_vO_1-6,APPG_1-5,pj_vO_1-5,APPG_1-4,pj_vO_1-4,APPGa,APPGa_1-6,APPGa_1-5,APPGa_1-4,pj_vOa,pj_vOa_1-6,pj_vOa_1-5,pj_vOa_1-4,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_APPG_1-4,Total_APPG_1-4,Name_pj_vO_1-4,Total_pj_vO_1-4,Name_APPGa,Total_APPGa,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_APPGa_1-4,Total_APPGa_1-4,Name_pj_vOa,Total_pj_vOa,Name_pj_vOa_1-6,Total_pj_vOa_1-6,Name_pj_vOa_1-5,Total_pj_vOa_1-5,Name_pj_vOa_1-4,Total_pj_vOa_1-4
0,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Austin Hays,Alex Cobb,Bo Bichette,Cole Irvin,Austin Hays,Adam Frazier,Austin Hays,Adam Frazier,Austin Hays,Bo Bichette,Austin Hays,Austin Hays,Alex Cobb,Cole Irvin,Adam Frazier,Adam Frazier,Austin Hays,0.0,Alex Cobb,23.05,Bo Bichette,0.0,Cole Irvin,35.6,Austin Hays,0.0,Adam Frazier,9.0,Austin Hays,0.0,Adam Frazier,9.0,Austin Hays,0.0,Bo Bichette,0.0,Austin Hays,0.0,Austin Hays,0.0,Alex Cobb,23.05,Cole Irvin,35.6,Adam Frazier,9.0,Adam Frazier,9.0
2,Bo Bichette,Cole Irvin,Cedric Mullins,Jed Lowrie,Bo Bichette,Cole Irvin,Bo Bichette,Bo Bichette,Bo Bichette,Cedric Mullins,Bo Bichette,Bo Bichette,Cole Irvin,Jed Lowrie,Cole Irvin,Bo Bichette,Bo Bichette,0.0,Cole Irvin,35.6,Cedric Mullins,7.0,Jed Lowrie,14.0,Bo Bichette,0.0,Cole Irvin,35.6,Bo Bichette,0.0,Bo Bichette,0.0,Bo Bichette,0.0,Cedric Mullins,7.0,Bo Bichette,0.0,Bo Bichette,0.0,Cole Irvin,35.6,Jed Lowrie,14.0,Cole Irvin,35.6,Bo Bichette,0.0
3,Cole Irvin,Jed Lowrie,Cole Irvin,Jose Iglesias,Cole Irvin,Jose Iglesias,Cole Irvin,Cole Irvin,Cole Irvin,Cole Irvin,Cole Irvin,Cole Irvin,Jed Lowrie,Jose Iglesias,Jose Iglesias,Cole Irvin,Cole Irvin,35.6,Jed Lowrie,14.0,Cole Irvin,35.6,Jose Iglesias,12.0,Cole Irvin,35.6,Jose Iglesias,12.0,Cole Irvin,35.6,Cole Irvin,35.6,Cole Irvin,35.6,Cole Irvin,35.6,Cole Irvin,35.6,Cole Irvin,35.6,Jed Lowrie,14.0,Jose Iglesias,12.0,Jose Iglesias,12.0,Cole Irvin,35.6
4,Jared Walsh,Kyle Seager,Jacob Stallings,Kyle Seager,Jared Walsh,Kyle Seager,Jared Walsh,Kyle Seager,Jared Walsh,Jacob Stallings,Jared Walsh,Jared Walsh,Kyle Seager,Kyle Seager,Kyle Seager,Kyle Seager,Jared Walsh,0.0,Kyle Seager,16.0,Jacob Stallings,4.0,Kyle Seager,16.0,Jared Walsh,0.0,Kyle Seager,16.0,Jared Walsh,0.0,Kyle Seager,16.0,Jared Walsh,0.0,Jacob Stallings,4.0,Jared Walsh,0.0,Jared Walsh,0.0,Kyle Seager,16.0,Kyle Seager,16.0,Kyle Seager,16.0,Kyle Seager,16.0
5,Manny Machado,Mark Canha,Jared Walsh,Mark Canha,Maikel Franco,Mark Canha,Maikel Franco,Manuel Margot,Manny Machado,Jared Walsh,Maikel Franco,Maikel Franco,Mark Canha,Mark Canha,Mark Canha,Manuel Margot,Manny Machado,2.0,Mark Canha,5.0,Jared Walsh,0.0,Mark Canha,5.0,Maikel Franco,0.0,Mark Canha,5.0,Maikel Franco,0.0,Manuel Margot,2.0,Manny Machado,2.0,Jared Walsh,0.0,Maikel Franco,0.0,Maikel Franco,0.0,Mark Canha,5.0,Mark Canha,5.0,Mark Canha,5.0,Manuel Margot,2.0
6,Marcus Semien,Matt Olson,Maikel Franco,Matt Olson,Marcus Semien,Matt Olson,Marcus Semien,Mark Canha,Marcus Semien,Maikel Franco,Marcus Semien,Marcus Semien,Matt Olson,Matt Olson,Matt Olson,Mark Canha,Marcus Semien,7.0,Matt Olson,0.0,Maikel Franco,0.0,Matt Olson,0.0,Marcus Semien,7.0,Matt Olson,0.0,Marcus Semien,7.0,Mark Canha,5.0,Marcus Semien,7.0,Maikel Franco,0.0,Marcus Semien,7.0,Marcus Semien,7.0,Matt Olson,0.0,Matt Olson,0.0,Matt Olson,0.0,Mark Canha,5.0
7,Matt Olson,Mitch Haniger,Marcus Semien,Mitch Haniger,Matt Olson,Mitch Haniger,Matt Olson,Matt Olson,Matt Olson,Marcus Semien,Matt Olson,Matt Olson,Mitch Haniger,Mitch Haniger,Mitch Haniger,Matt Olson,Matt Olson,0.0,Mitch Haniger,4.0,Marcus Semien,7.0,Mitch Haniger,4.0,Matt Olson,0.0,Mitch Haniger,4.0,Matt Olson,0.0,Matt Olson,0.0,Matt Olson,0.0,Marcus Semien,7.0,Matt Olson,0.0,Matt Olson,0.0,Mitch Haniger,4.0,Mitch Haniger,4.0,Mitch Haniger,4.0,Matt Olson,0.0
8,Mike Zunino,Ramon Laureano,Mitch Haniger,Ramon Laureano,Mitch Haniger,Ramon Laureano,Mitch Haniger,Mitch Haniger,Mike Zunino,Mitch Haniger,Mitch Haniger,Mitch Haniger,Ramon Laureano,Ramon Laureano,Ramon Laureano,Mitch Haniger,Mike Zunino,0.0,Ramon Laureano,2.0,Mitch Haniger,4.0,Ramon Laureano,2.0,Mitch Haniger,4.0,Ramon Laureano,2.0,Mitch Haniger,4.0,Mitch Haniger,4.0,Mike Zunino,0.0,Mitch Haniger,4.0,Mitch Haniger,4.0,Mitch Haniger,4.0,Ramon Laureano,2.0,Ramon Laureano,2.0,Ramon Laureano,2.0,Mitch Haniger,4.0
9,Mitch Haniger,Sean Murphy,Shane McClanahan,Sean Murphy,Sean Murphy,Sean Murphy,Sean Murphy,Sean Murphy,Mitch Haniger,Shane McClanahan,Sean Murphy,Sean Murphy,Sean Murphy,Sean Murphy,Sean Murphy,Sean Murphy,Mitch Haniger,4.0,Sean Murphy,9.0,Shane McClanahan,16.6,Sean Murphy,9.0,Sean Murphy,9.0,Sean Murphy,9.0,Sean Murphy,9.0,Sean Murphy,9.0,Mitch Haniger,4.0,Shane McClanahan,16.6,Sean Murphy,9.0,Sean Murphy,9.0,Sean Murphy,9.0,Sean Murphy,9.0,Sean Murphy,9.0,Sean Murphy,9.0
