,APPGa,APPG,pj_vO,pj_vOa,pj_vOab,APPGa_1-6,APPG_1-6,pj_vO_1-6,pj_vOa_1-6,pj_vOab_1-6,APPGa_1-5,APPG_1-5,pj_vO_1-5,pj_vOa_1-5,pj_vOab_1-5,APPGa_1-4,APPG_1-4,pj_vO_1-4,pj_vOa_1-4,pj_vOab_1-4,APPGa_1-3,APPG_1-3,pj_vO_1-3,pj_vOa_1-3,pj_vOab_1-3,Name_APPGa,Total_APPGa,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_pj_vOa,Total_pj_vOa,Name_pj_vOab,Total_pj_vOab,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_pj_vOa_1-6,Total_pj_vOa_1-6,Name_pj_vOab_1-6,Total_pj_vOab_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_pj_vOa_1-5,Total_pj_vOa_1-5,Name_pj_vOab_1-5,Total_pj_vOab_1-5,Name_APPGa_1-4,Total_APPGa_1-4,Name_APPG_1-4,Total_APPG_1-4,Name_pj_vO_1-4,Total_pj_vO_1-4,Name_pj_vOa_1-4,Total_pj_vOa_1-4,Name_pj_vOab_1-4,Total_pj_vOab_1-4,Name_APPGa_1-3,Total_APPGa_1-3,Name_APPG_1-3,Total_APPG_1-3,Name_pj_vO_1-3,Total_pj_vO_1-3,Name_pj_vOa_1-3,Total_pj_vOa_1-3,Name_pj_vOab_1-3,Total_pj_vOab_1-3
0,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Brandon Crawford,Brandon Crawford,Brandon Belt,Brandon Belt,Chris Taylor,Brandon Belt,Brandon Belt,Chris Taylor,Chris Taylor,Chris Taylor,Brandon Belt,Brandon Belt,Buster Posey,Buster Posey,Buster Posey,Austin Meadows,Austin Meadows,Brandon Belt,Brandon Belt,Brandon Belt,Buster Posey,Buster Posey,Buster Posey,Buster Posey,Buster Posey,Brandon Crawford,2.0,Brandon Crawford,2.0,Brandon Belt,4.0,Brandon Belt,4.0,Chris Taylor,9.0,Brandon Belt,4.0,Brandon Belt,4.0,Chris Taylor,9.0,Chris Taylor,9.0,Chris Taylor,9.0,Brandon Belt,4.0,Brandon Belt,4.0,Buster Posey,5.0,Buster Posey,5.0,Buster Posey,5.0,Austin Meadows,0.0,Austin Meadows,0.0,Brandon Belt,4.0,Brandon Belt,4.0,Brandon Belt,4.0,Buster Posey,5.0,Buster Posey,5.0,Buster Posey,5.0,Buster Posey,5.0,Buster Posey,5.0
2,Buster Posey,Buster Posey,Chris Taylor,Chris Taylor,Cole Irvin,Brandon Crawford,Brandon Crawford,Cole Irvin,Cole Irvin,Cole Irvin,Buster Posey,Buster Posey,Cole Irvin,Cole Irvin,Cole Irvin,Brandon Belt,Brandon Belt,Cole Irvin,Cole Irvin,Cole Irvin,Cole Irvin,Cole Irvin,Corey Seager,Corey Seager,Corey Seager,Buster Posey,5.0,Buster Posey,5.0,Chris Taylor,9.0,Chris Taylor,9.0,Cole Irvin,10.5,Brandon Crawford,2.0,Brandon Crawford,2.0,Cole Irvin,10.5,Cole Irvin,10.5,Cole Irvin,10.5,Buster Posey,5.0,Buster Posey,5.0,Cole Irvin,10.5,Cole Irvin,10.5,Cole Irvin,10.5,Brandon Belt,4.0,Brandon Belt,4.0,Cole Irvin,10.5,Cole Irvin,10.5,Cole Irvin,10.5,Cole Irvin,10.5,Cole Irvin,10.5,Corey Seager,11.0,Corey Seager,11.0,Corey Seager,11.0
3,David Fletcher,David Fletcher,Cole Irvin,Cole Irvin,Corey Seager,Buster Posey,Buster Posey,Corey Seager,Corey Seager,Corey Seager,Corey Seager,Corey Seager,Corey Seager,Corey Seager,Corey Seager,Buster Posey,Buster Posey,Corey Seager,Corey Seager,Corey Seager,David Fletcher,David Fletcher,David Fletcher,David Fletcher,David Fletcher,David Fletcher,13.0,David Fletcher,13.0,Cole Irvin,10.5,Cole Irvin,10.5,Corey Seager,11.0,Buster Posey,5.0,Buster Posey,5.0,Corey Seager,11.0,Corey Seager,11.0,Corey Seager,11.0,Corey Seager,11.0,Corey Seager,11.0,Corey Seager,11.0,Corey Seager,11.0,Corey Seager,11.0,Buster Posey,5.0,Buster Posey,5.0,Corey Seager,11.0,Corey Seager,11.0,Corey Seager,11.0,David Fletcher,13.0,David Fletcher,13.0,David Fletcher,13.0,David Fletcher,13.0,David Fletcher,13.0
4,Johnny Cueto,Johnny Cueto,Corey Seager,Corey Seager,Gavin Lux,David Fletcher,David Fletcher,Jake Cronenworth,Jake Cronenworth,Jed Lowrie,David Fletcher,David Fletcher,David Fletcher,David Fletcher,David Fletcher,Cole Irvin,Cole Irvin,David Fletcher,David Fletcher,David Fletcher,Fernando Tatis Jr.,Fernando Tatis Jr.,Johnny Cueto,Johnny Cueto,Johnny Cueto,Johnny Cueto,-4.6499999999999995,Johnny Cueto,-4.6499999999999995,Corey Seager,11.0,Corey Seager,11.0,Gavin Lux,0.0,David Fletcher,13.0,David Fletcher,13.0,Jake Cronenworth,25.0,Jake Cronenworth,25.0,Jed Lowrie,2.0,David Fletcher,13.0,David Fletcher,13.0,David Fletcher,13.0,David Fletcher,13.0,David Fletcher,13.0,Cole Irvin,10.5,Cole Irvin,10.5,David Fletcher,13.0,David Fletcher,13.0,David Fletcher,13.0,Fernando Tatis Jr.,21.0,Fernando Tatis Jr.,21.0,Johnny Cueto,-4.6499999999999995,Johnny Cueto,-4.6499999999999995,Johnny Cueto,-4.6499999999999995
5,Justin Turner,Justin Turner,Gavin Lux,Gavin Lux,Justin Turner,Johnny Cueto,Johnny Cueto,Johnny Cueto,Johnny Cueto,Johnny Cueto,Evan Longoria,Evan Longoria,Johnny Cueto,Johnny Cueto,Johnny Cueto,David Fletcher,David Fletcher,Johnny Cueto,Johnny Cueto,Johnny Cueto,Johnny Cueto,Johnny Cueto,Justin Turner,Justin Turner,Justin Turner,Justin Turner,6.0,Justin Turner,6.0,Gavin Lux,0.0,Gavin Lux,0.0,Justin Turner,6.0,Johnny Cueto,-4.6499999999999995,Johnny Cueto,-4.6499999999999995,Johnny Cueto,-4.6499999999999995,Johnny Cueto,-4.6499999999999995,Johnny Cueto,-4.6499999999999995,Evan Longoria,7.0,Evan Longoria,7.0,Johnny Cueto,-4.6499999999999995,Johnny Cueto,-4.6499999999999995,Johnny Cueto,-4.6499999999999995,David Fletcher,13.0,David Fletcher,13.0,Johnny Cueto,-4.6499999999999995,Johnny Cueto,-4.6499999999999995,Johnny Cueto,-4.6499999999999995,Johnny Cueto,-4.6499999999999995,Johnny Cueto,-4.6499999999999995,Justin Turner,6.0,Justin Turner,6.0,Justin Turner,6.0
6,Mark Canha,Mark Canha,Johnny Cueto,Johnny Cueto,Max Muncy,Justin Turner,Justin Turner,Justin Turner,Justin Turner,Justin Turner,Johnny Cueto,Johnny Cueto,Justin Turner,Justin Turner,Justin Turner,Fernando Tatis Jr.,Fernando Tatis Jr.,Justin Turner,Justin Turner,Justin Turner,Justin Turner,Justin Turner,Mark Canha,Mark Canha,Mark Canha,Mark Canha,0.0,Mark Canha,0.0,Johnny Cueto,-4.6499999999999995,Johnny Cueto,-4.6499999999999995,Max Muncy,4.0,Justin Turner,6.0,Justin Turner,6.0,Justin Turner,6.0,Justin Turner,6.0,Justin Turner,6.0,Johnny Cueto,-4.6499999999999995,Johnny Cueto,-4.6499999999999995,Justin Turner,6.0,Justin Turner,6.0,Justin Turner,6.0,Fernando Tatis Jr.,21.0,Fernando Tatis Jr.,21.0,Justin Turner,6.0,Justin Turner,6.0,Justin Turner,6.0,Justin Turner,6.0,Justin Turner,6.0,Mark Canha,0.0,Mark Canha,0.0,Mark Canha,0.0
7,Matt Olson,Matt Olson,Justin Turner,Justin Turner,Mookie Betts,Justin Upton,Justin Upton,Mark Canha,Mark Canha,Justin Upton,Justin Upton,Justin Upton,Justin Upton,Justin Upton,Justin Upton,Johnny Cueto,Johnny Cueto,Mark Canha,Mark Canha,Mark Canha,Manuel Margot,Manuel Margot,Matt Olson,Matt Olson,Matt Olson,Matt Olson,5.0,Matt Olson,5.0,Justin Turner,6.0,Justin Turner,6.0,Mookie Betts,4.0,Justin Upton,0.0,Justin Upton,0.0,Mark Canha,0.0,Mark Canha,0.0,Justin Upton,0.0,Justin Upton,0.0,Justin Upton,0.0,Justin Upton,0.0,Justin Upton,0.0,Justin Upton,0.0,Johnny Cueto,-4.6499999999999995,Johnny Cueto,-4.6499999999999995,Mark Canha,0.0,Mark Canha,0.0,Mark Canha,0.0,Manuel Margot,0.0,Manuel Margot,0.0,Matt Olson,5.0,Matt Olson,5.0,Matt Olson,5.0
8,Taylor Ward,Taylor Ward,Mookie Betts,Mookie Betts,Shane McClanahan,Mark Canha,Mark Canha,Max Muncy,Max Muncy,Max Muncy,Mark Canha,Mark Canha,Max Muncy,Max Muncy,Max Muncy,Justin Turner,Justin Turner,Mike Tauchman,Mike Tauchman,Mike Tauchman,Mark Canha,Mark Canha,Mike Tauchman,Mike Tauchman,Mike Tauchman,Taylor Ward,0.0,Taylor Ward,0.0,Mookie Betts,4.0,Mookie Betts,4.0,Shane McClanahan,9.4,Mark Canha,0.0,Mark Canha,0.0,Max Muncy,4.0,Max Muncy,4.0,Max Muncy,4.0,Mark Canha,0.0,Mark Canha,0.0,Max Muncy,4.0,Max Muncy,4.0,Max Muncy,4.0,Justin Turner,6.0,Justin Turner,6.0,Mike Tauchman,3.0,Mike Tauchman,3.0,Mike Tauchman,3.0,Mark Canha,0.0,Mark Canha,0.0,Mike Tauchman,3.0,Mike Tauchman,3.0,Mike Tauchman,3.0
9,Trent Grisham,Trent Grisham,Steven Duggar,Steven Duggar,Steven Duggar,Trent Grisham,Trent Grisham,Mike Tauchman,Mike Tauchman,Mike Tauchman,Trent Grisham,Trent Grisham,Mike Tauchman,Mike Tauchman,Mike Tauchman,Mark Canha,Mark Canha,Mookie Betts,Mookie Betts,Mookie Betts,Matt Olson,Matt Olson,Mookie Betts,Mookie Betts,Mookie Betts,Trent Grisham,16.0,Trent Grisham,16.0,Steven Duggar,0.0,Steven Duggar,0.0,Steven Duggar,0.0,Trent Grisham,16.0,Trent Grisham,16.0,Mike Tauchman,3.0,Mike Tauchman,3.0,Mike Tauchman,3.0,Trent Grisham,16.0,Trent Grisham,16.0,Mike Tauchman,3.0,Mike Tauchman,3.0,Mike Tauchman,3.0,Mark Canha,0.0,Mark Canha,0.0,Mookie Betts,4.0,Mookie Betts,4.0,Mookie Betts,4.0,Matt Olson,5.0,Matt Olson,5.0,Mookie Betts,4.0,Mookie Betts,4.0,Mookie Betts,4.0
