,APPGa,APPG,pj_vO,APPGa_1-6,APPG_1-6,pj_vO_1-6,pj_vOa,pj_vOa_1-6,Name_APPGa,Total_APPGa,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_pj_vOa,Total_pj_vOa,Name_pj_vOa_1-6,Total_pj_vOa_1-6
0,05-13-21,05-13-21,05-13-21,05-13-21,05-13-21,05-13-21,05-13-21,05-13-21,,,,,,,,,,,,,,,,
1,Adolis Garcia,Adolis Garcia,Carlos Correa,Adolis Garcia,Adolis Garcia,Carlos Correa,Carlos Correa,Carlos Correa,Adolis Garcia,5.0,Adolis Garcia,5.0,Carlos Correa,0.0,Adolis Garcia,5.0,Adolis Garcia,5.0,Carlos Correa,0.0,Carlos Correa,0.0,Carlos Correa,0.0
2,Charlie Culberson,Charlie Culberson,Connor Joe,Carlos Correa,Carlos Correa,Connor Joe,Connor Joe,Connor Joe,Charlie Culberson,0.0,Charlie Culberson,0.0,Connor Joe,20.0,Carlos Correa,0.0,Carlos Correa,0.0,Connor Joe,20.0,Connor Joe,20.0,Connor Joe,20.0
3,Cristian Javier,Cristian Javier,Cristian Javier,Cristian Javier,Cristian Javier,Cristian Javier,Cristian Javier,Cristian Javier,Cristian Javier,18.150000000000002,Cristian Javier,18.150000000000002,Cristian Javier,18.150000000000002,Cristian Javier,18.150000000000002,Cristian Javier,18.150000000000002,Cristian Javier,18.150000000000002,Cristian Javier,18.150000000000002,Cristian Javier,18.150000000000002
4,Isiah Kiner-Falefa,Isiah Kiner-Falefa,Dom Nunez,Jesse Winker,Jesse Winker,Dom Nunez,Dom Nunez,Dom Nunez,Isiah Kiner-Falefa,5.0,Isiah Kiner-Falefa,5.0,Dom Nunez,4.0,Jesse Winker,5.0,Jesse Winker,5.0,Dom Nunez,4.0,Dom Nunez,4.0,Dom Nunez,4.0
5,Jesse Winker,Jesse Winker,Jesse Winker,Josh Fuentes,Josh Fuentes,Jesse Winker,Jesse Winker,Jesse Winker,Jesse Winker,5.0,Jesse Winker,5.0,Jesse Winker,5.0,Josh Fuentes,26.0,Josh Fuentes,26.0,Jesse Winker,5.0,Jesse Winker,5.0,Jesse Winker,5.0
6,Mike Foltynewicz,Mike Foltynewicz,Jose Altuve,Mike Foltynewicz,Mike Foltynewicz,Jose Altuve,Jose Altuve,Jose Altuve,Mike Foltynewicz,4.65,Mike Foltynewicz,4.65,Jose Altuve,16.0,Mike Foltynewicz,4.65,Mike Foltynewicz,4.65,Jose Altuve,16.0,Jose Altuve,16.0,Jose Altuve,16.0
7,Nate Lowe,Nate Lowe,Josh Fuentes,Nate Lowe,Nate Lowe,Josh Fuentes,Josh Fuentes,Josh Fuentes,Nate Lowe,4.0,Nate Lowe,4.0,Josh Fuentes,26.0,Nate Lowe,4.0,Nate Lowe,4.0,Josh Fuentes,26.0,Josh Fuentes,26.0,Josh Fuentes,26.0
8,Nick Solak,Nick Solak,Mike Foltynewicz,Nick Solak,Nick Solak,Mike Foltynewicz,Mike Foltynewicz,Mike Foltynewicz,Nick Solak,5.0,Nick Solak,5.0,Mike Foltynewicz,4.65,Nick Solak,5.0,Nick Solak,5.0,Mike Foltynewicz,4.65,Mike Foltynewicz,4.65,Mike Foltynewicz,4.65
9,Tucker Barnhart,Tucker Barnhart,Raimel Tapia,Tucker Barnhart,Tucker Barnhart,Raimel Tapia,Raimel Tapia,Raimel Tapia,Tucker Barnhart,7.0,Tucker Barnhart,7.0,Raimel Tapia,14.0,Tucker Barnhart,7.0,Tucker Barnhart,7.0,Raimel Tapia,14.0,Raimel Tapia,14.0,Raimel Tapia,14.0
10,Yordan Alvarez,Yordan Alvarez,Yordan Alvarez,Yordan Alvarez,Yordan Alvarez,Yordan Alvarez,Yordan Alvarez,Yordan Alvarez,Yordan Alvarez,8.0,Yordan Alvarez,8.0,Yordan Alvarez,8.0,Yordan Alvarez,8.0,Yordan Alvarez,8.0,Yordan Alvarez,8.0,Yordan Alvarez,8.0,Yordan Alvarez,8.0
11,102.16,102.16,107.9,98.70999999999998,98.70999999999998,107.9,107.9,107.9,,61.8,,61.8,,115.80000000000001,,82.8,,82.8,,115.80000000000001,,115.80000000000001,,115.80000000000001
